qtr,ex_rate
1981,1.6172
1981.25,1.7291
1981.5,1.77636666666667
1981.75,1.74493333333333
1982,1.83506666666667
1982.25,1.8674
1982.5,1.95153333333333
1982.75,1.97423333333333
1983,1.97303333333333
1983.25,1.99286666666667
1983.5,1.98963333333333
1983.75,1.98796666666667
1984,2.06493333333333
1984.25,2.20103333333333
1984.5,2.44386666666667
1984.75,2.7482
1985,2.82843333333333
1985.25,2.86506666666667
1985.5,2.92576666666667
1985.75,3.2095
1986,3.21806666666667
1986.25,3.20843333333333
1986.5,3.7166
1986.75,3.7314
1987,3.7314
1987.25,3.7314
1987.5,3.7314
1987.75,3.7314
1988,3.7314
1988.25,3.7314
1988.5,3.7314
1988.75,3.7314
1989,3.7314
1989.25,3.7314
1989.5,3.7314
1989.75,4.06556666666667
1990,4.7339
1990.25,4.7339
1990.5,4.7339
1990.75,5.0681
1991,5.2352
1991.25,5.34053333333333
1991.5,5.37886666666667
1991.75,5.4179
1992,5.46846666666667
1992.25,5.48776666666667
1992.5,5.4422
1992.75,5.6747
1993,5.74473333333333
1993.25,5.73286666666667
1993.5,5.77876666666667
1993.75,5.8021
1994,8.7045
1994.25,8.67283333333333
1994.5,8.5696
1994.75,8.49373333333333
1995,8.43196666666667
1995.25,8.338
1995.5,8.31286666666667
1995.75,8.31463333333333
1996,8.3229
1996.25,8.3259
1996.5,8.30623333333333
1996.75,8.29986666666667
1997,8.29476666666667
1997.25,8.29243333333333
1997.5,8.28786666666667
1997.75,8.28086666666667
1998,8.2789
1998.25,8.27896666666667
1998.5,8.2793
1998.75,8.2783
1999,8.27893333333333
1999.25,8.2787
1999.5,8.2774
1999.75,8.27873333333333
2000,8.27833333333333
2000.25,8.27846666666667
2000.5,8.2792
2000.75,8.27753333333333
2001,8.27803333333333
2001.25,8.27703333333333
2001.5,8.2769
2001.75,8.27686666666667
2002,8.2768
2002.25,8.27696666666667
2002.5,8.27693333333333
2002.75,8.2776
2003,8.27776666666667
2003.25,8.27723333333333
2003.5,8.2772
2003.75,8.27683333333333
2004,8.27693333333333
2004.25,8.27683333333333
2004.5,8.2767
2004.75,8.2765
2005,8.2765
2005.25,8.2765
2005.5,8.0992
2005.75,8.07713333333333
2006,8.04003333333333
2006.25,8.01013333333333
2006.5,7.94406666666667
2006.75,7.83993333333333
2007,7.74786666666667
2007.25,7.6555
2007.5,7.54116666666667
2007.75,7.3912
2008,7.10216666666667
2008.25,6.92846666666667
2008.5,6.84176666666667
2008.75,6.82946666666667
2009,6.836
2009.25,6.82576666666667
2009.5,6.82966666666667
2009.75,6.82733333333333
2010,6.8263
2010.25,6.81156666666667
2010.5,6.75773333333333
2010.75,6.64276666666667
2011,6.57506666666667
2011.25,6.47823333333333
2011.5,6.3994
2011.75,6.34263333333333
2012,6.30026666666667
2012.25,6.34413333333333
2012.5,6.33166666666667
2012.75,6.2314
2013,6.2169
2013.25,6.14553333333333
2013.5,6.12256666666667
2013.75,6.08006666666667
2014,6.1404
2014.25,6.2366
2014.5,6.15156666666667
2014.75,6.1533
2015,6.23933333333333
2015.25,6.19993333333333
2015.5,6.31376666666667
2015.75,6.40273333333333
2016,6.52523333333333
2016.25,6.5665
2016.5,6.66106666666667
2016.75,6.86673333333333
2017,6.8755
2017.25,6.82636666666667
2017.5,6.65536666666667
2017.75,6.5827
2018,6.2949
2018.25,6.45306666666667
2018.5,6.83393333333333
2018.75,6.935
2019,6.6994
2019.25,6.83413333333333
2019.5,7.06176666666667
2019.75,7.01016666666667
2020,7.0026
2020.25,7.08663333333333
2020.5,6.87046666666667
2020.75,6.59763333333333
2021,6.48326666666667
2021.25,6.4328
2021.5,6.4555
2021.75,6.3737
2022,6.33606666666667
2022.25,6.6592
2022.5,6.91526666666667
2022.75,7.09553333333333
2023,6.85136666666667
2023.25,7.09106666666667
2023.5,7.23393333333333
2023.75,7.1832
2024,7.19176666666667
2024.25,7.24186666666667
